epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.27154,1.84832,0.48487,0.73131,0.06131,0.52003,0.05253,0.01522,1.21149,0.52749,0.35973,0.00038,0.00038,0.00038
2,11.3274,1.15274,0.49622,0.25146,0.5433,0.48067,0.44019,0.15464,0.96005,0.52263,0.23431,0.000776139,0.000776139,0.000776139
3,15.4803,0.97037,0.48036,0.1915,0.47432,0.38299,0.30974,0.05553,1.12264,0.452,0.28257,0.00116832,0.00116832,0.00116832
4,19.3985,0.93256,0.46839,0.18833,0.66695,0.57625,0.53482,0.16531,nan,nan,nan,0.00155654,0.00155654,0.00155654
5,23.5238,0.89169,0.4659,0.16944,0.0355,0.03654,0.0108,0.00163,nan,nan,nan,0.0019408,0.0019408,0.0019408
6,27.7713,0.85033,0.4809,0.15072,0.07432,0.05973,0.02191,0.00704,1.39437,0.50704,0.39462,0.0019505,0.0019505,0.0019505
7,31.7212,0.84957,0.48507,0.1568,0.69979,0.67428,0.61352,0.25349,0.81474,0.58888,0.16659,0.0019406,0.0019406,0.0019406
8,35.8181,0.83429,0.49504,0.14452,0.71904,0.65823,0.61847,0.26326,0.78015,0.52494,0.15435,0.0019307,0.0019307,0.0019307
9,39.8485,0.82895,0.48406,0.14695,0.73883,0.68552,0.64307,0.28401,0.76224,0.5037,0.1459,0.0019208,0.0019208,0.0019208
10,43.9699,0.87287,0.47698,0.17143,0.70768,0.65039,0.6133,0.24433,0.79274,0.51922,0.15998,0.0019109,0.0019109,0.0019109
11,47.8743,0.8192,0.49211,0.1516,0.03941,0.04743,0.01106,0.00169,1.37431,0.42427,0.37969,0.001901,0.001901,0.001901
12,51.7234,0.86909,0.48004,0.18264,0.73351,0.67744,0.62722,0.24728,0.81211,0.49221,0.17009,0.0018911,0.0018911,0.0018911
13,55.7563,0.82105,0.49716,0.14629,0.74993,0.67964,0.6479,0.27885,0.75593,0.50622,0.14324,0.0018812,0.0018812,0.0018812
14,59.8114,0.82417,0.48572,0.14024,0.16773,0.16339,0.06389,0.01292,1.23361,0.43901,0.33104,0.0018713,0.0018713,0.0018713
15,63.775,0.79856,0.48327,0.13864,0.59394,0.52881,0.44137,0.07439,1.0549,0.44651,0.26825,0.0018614,0.0018614,0.0018614
16,67.6772,0.7791,0.50015,0.13336,0.71504,0.67569,0.62998,0.23805,0.79711,0.5004,0.1589,0.0018515,0.0018515,0.0018515
17,71.7457,0.79996,0.48518,0.13258,0.70137,0.66444,0.60317,0.19245,0.89373,0.49678,0.20658,0.0018416,0.0018416,0.0018416
18,75.6809,0.75427,0.49207,0.13304,0.73338,0.6959,0.65716,0.2831,0.75227,0.49676,0.14462,0.0018317,0.0018317,0.0018317
19,79.7225,0.75077,0.49871,0.12846,0.73206,0.66901,0.62599,0.24896,0.79799,0.48527,0.16403,0.0018218,0.0018218,0.0018218
20,83.6898,0.76761,0.49606,0.13248,0.74271,0.69536,0.64303,0.25024,0.78789,0.49048,0.1613,0.0018119,0.0018119,0.0018119
21,87.6441,0.77026,0.49291,0.131,0.67468,0.62014,0.55245,0.15334,0.94466,0.46249,0.22793,0.001802,0.001802,0.001802
22,91.6539,0.7546,0.49019,0.12477,0.67541,0.62146,0.54224,0.13099,0.98196,0.44468,0.24389,0.0017921,0.0017921,0.0017921
23,95.5579,0.7463,0.4922,0.12968,0.72114,0.68728,0.61711,0.22011,0.84181,0.49689,0.18546,0.0017822,0.0017822,0.0017822
24,99.4862,0.76768,0.48344,0.12476,0.72901,0.69185,0.63066,0.22598,0.82805,0.48618,0.18262,0.0017723,0.0017723,0.0017723
