epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2938,3.97744,2.7823,1.8408,0,0,0,0,nan,nan,nan,0.00038,0.00038,0.00038
2,8.25517,2.48653,1.38687,1.18228,0,0,0,0,nan,nan,nan,0.000776139,0.000776139,0.000776139
3,10.273,2.37546,1.27323,1.14605,0,0,0,0,nan,nan,nan,0.00116832,0.00116832,0.00116832
4,12.191,2.3098,1.25159,1.13559,0,0,0,0,nan,nan,nan,0.00155654,0.00155654,0.00155654
5,14.0801,2.25782,1.27021,1.09791,0.05621,0.02284,0.02054,0.00799,nan,nan,nan,0.0019408,0.0019408,0.0019408
6,16.0538,2.19877,1.25054,1.0786,0.15349,0.07414,0.04331,0.01104,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,18.0016,2.23925,1.27215,1.09758,0.24628,0.1546,0.09414,0.0216,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,19.8754,2.21562,1.26387,1.08188,0.01969,0.00632,0.00449,0.00091,nan,nan,nan,0.0019307,0.0019307,0.0019307
9,21.72,2.1302,1.24216,1.06289,0.16107,0.18412,0.0851,0.01556,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,23.7205,2.29469,1.24096,1.08529,0.04708,0.02565,0.00776,0.00193,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,25.5714,2.06828,1.2298,1.04229,0.13382,0.14301,0.0461,0.00827,3.96514,2.84377,1.56944,0.001901,0.001901,0.001901
12,27.4068,2.11802,1.22316,1.06354,0.27965,0.22417,0.10682,0.01888,nan,nan,nan,0.0018911,0.0018911,0.0018911
13,29.2668,2.07926,1.25397,1.05449,0.02092,0.03127,0.00321,0.00082,4.87679,6.35709,2.32883,0.0018812,0.0018812,0.0018812
14,31.1139,2.07188,1.24589,1.02723,0.16258,0.18587,0.06637,0.01168,3.91494,2.84453,1.46697,0.0018713,0.0018713,0.0018713
15,33.1281,2.08661,1.2099,1.03308,0.03307,0.026,0.00621,0.00161,4.84929,2.72468,1.92267,0.0018614,0.0018614,0.0018614
16,34.9713,2.07641,1.20802,1.04342,0.24115,0.16971,0.09201,0.0151,3.97991,1.62919,1.5038,0.0018515,0.0018515,0.0018515
17,36.8336,2.05116,1.21085,1.02292,0.03186,0.02987,0.00586,0.00118,4.65774,3.43592,1.86565,0.0018416,0.0018416,0.0018416
18,38.6935,2.08935,1.23072,1.03662,0.01253,0.02706,0.0038,0.00064,4.82483,2.51307,1.97024,0.0018317,0.0018317,0.0018317
19,40.7059,2.01948,1.19698,1.02186,0.21885,0.21082,0.08984,0.01829,3.93257,1.9696,1.51532,0.0018218,0.0018218,0.0018218
20,42.5603,2.00755,1.2132,1.01405,0.39599,0.36297,0.2186,0.03239,3.67891,1.88908,1.42405,0.0018119,0.0018119,0.0018119
21,44.5197,1.99648,1.21429,1.02096,0.07236,0.05622,0.01386,0.00386,4.58861,3.19124,1.87599,0.001802,0.001802,0.001802
22,46.3976,1.97802,1.16377,1.01472,0.59351,0.59768,0.47492,0.12333,2.71301,1.64155,1.13552,0.0017921,0.0017921,0.0017921
23,48.3497,1.93507,1.17328,1.00779,0.72571,0.61595,0.57619,0.21794,2.10159,1.2191,1.0221,0.0017822,0.0017822,0.0017822
24,50.4078,1.98758,1.19319,1.00879,0.36035,0.43008,0.25603,0.0493,3.24595,2.11694,1.26359,0.0017723,0.0017723,0.0017723
25,52.2753,1.91816,1.15619,0.99972,0.67584,0.63598,0.55615,0.17188,2.45246,1.46313,1.07691,0.0017624,0.0017624,0.0017624
26,54.1537,1.92023,1.13977,0.99156,0.02718,0.03514,0.00477,0.00136,4.79146,3.35716,1.85478,0.0017525,0.0017525,0.0017525
27,55.9933,1.95708,1.18112,0.99691,0.46828,0.37632,0.27566,0.05724,3.37579,1.51294,1.3443,0.0017426,0.0017426,0.0017426
28,57.9907,1.90372,1.15551,1.00277,0.71495,0.6149,0.57435,0.2304,2.02458,1.2513,1.00937,0.0017327,0.0017327,0.0017327
