epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92262,3.86843,2.88182,1.80904,0.06915,0.37351,0.04546,0.01065,nan,nan,nan,0.00038,0.00038,0.00038
2,4.00182,2.40245,1.41403,1.15232,0.00357,0.02987,0.00202,0.00068,nan,nan,nan,0.000776139,0.000776139,0.000776139
3,5.68702,2.294,1.27052,1.11718,0.10526,0.02178,0.054,0.01592,nan,nan,nan,0.00116832,0.00116832,0.00116832
4,7.47675,2.26458,1.22912,1.11544,0.01599,0.1163,0.00922,0.00215,nan,nan,nan,0.00155654,0.00155654,0.00155654
5,9.12431,2.22422,1.22053,1.08432,0.00843,0.07414,0.00454,0.00064,nan,nan,nan,0.0019408,0.0019408,0.0019408
6,10.8125,2.20063,1.20366,1.07572,0.04906,0.26072,0.03127,0.00975,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,12.5272,2.18429,1.21016,1.08724,0.24862,0.34294,0.14547,0.03018,3.04853,3.02734,1.31447,0.0019406,0.0019406,0.0019406
8,14.3959,2.15706,1.23972,1.071,0.01427,0.09874,0.00697,0.00159,4.27949,inf,2.14257,0.0019307,0.0019307,0.0019307
9,16.0644,2.07019,1.21555,1.04546,0.00905,0.04814,0.00362,0.00068,4.83735,22.149,2.205,0.0019208,0.0019208,0.0019208
10,17.7124,2.20348,1.21583,1.06918,0.01788,0.01722,0.0034,0.00074,5.00112,8.02472,2.1244,0.0019109,0.0019109,0.0019109
11,19.3708,2.07095,1.21265,1.04629,0.07153,0.27442,0.04229,0.01009,3.68446,11.9755,1.49053,0.001901,0.001901,0.001901
12,21.0192,2.05995,1.19992,1.05296,0.50952,0.48291,0.35674,0.08501,2.90457,1.47263,1.24933,0.0018911,0.0018911,0.0018911
13,22.8222,2.05357,1.22231,1.04246,0.19749,0.12544,0.06614,0.01247,3.96382,1.8326,1.54539,0.0018812,0.0018812,0.0018812
14,24.5034,2.04375,1.19876,1.02508,0.38741,0.40864,0.22422,0.04135,3.31377,1.68654,1.32191,0.0018713,0.0018713,0.0018713
15,26.1913,2.06517,1.18261,1.02698,0.42331,0.34751,0.23866,0.04429,3.4762,1.45967,1.3574,0.0018614,0.0018614,0.0018614
16,27.8966,2.03826,1.19222,1.03596,0.59047,0.59206,0.51898,0.20657,2.08624,1.23436,1.01734,0.0018515,0.0018515,0.0018515
17,29.7018,1.98942,1.18507,1.01049,0.26088,0.27864,0.11696,0.01811,3.64638,2.4504,1.40655,0.0018416,0.0018416,0.0018416
18,31.3659,2.06659,1.18662,1.03091,0.58943,0.48595,0.40842,0.09408,2.86625,1.38647,1.18914,0.0018317,0.0018317,0.0018317
19,33.0388,1.9706,1.16399,1.012,0.58978,0.51054,0.42833,0.09286,3.15447,1.48081,1.24493,0.0018218,0.0018218,0.0018218
20,34.7188,1.96188,1.18388,1.00927,0.22875,0.21152,0.09076,0.01291,3.88275,1.79081,1.47611,0.0018119,0.0018119,0.0018119
21,36.3708,1.96904,1.17673,1.01323,0.01285,0.01862,0.00225,0.00036,5.00033,2.56382,1.9616,0.001802,0.001802,0.001802
22,38.0204,1.94692,1.15496,1.00726,0.52713,0.4754,0.36614,0.08017,3.06875,1.68655,1.20981,0.0017921,0.0017921,0.0017921
23,39.679,1.90663,1.13769,1.0016,0.725,0.6299,0.60497,0.27256,1.88974,1.13155,0.99932,0.0017822,0.0017822,0.0017822
24,41.5282,2.02173,1.1837,1.01341,0.04866,0.04989,0.01236,0.00304,4.62463,3.09634,1.97513,0.0017723,0.0017723,0.0017723
