epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.78413,1.90904,0.45768,0.70703,0.05849,0.52319,0.05995,0.01798,1.2034,0.52393,0.32783,0.00038,0.00038,0.00038
2,10.6891,1.19598,0.48498,0.26323,0.40109,0.47721,0.35629,0.12866,0.88158,0.62123,0.19684,0.000776139,0.000776139,0.000776139
3,14.8693,1.00995,0.47044,0.20376,0.02814,0.02846,0.0074,0.00124,nan,nan,nan,0.00116832,0.00116832,0.00116832
4,18.5911,0.97659,0.47199,0.1866,0.00041,0.00351,0.00019,5e-05,1.77719,0.31028,0.55977,0.00155654,0.00155654,0.00155654
5,22.7195,0.92796,0.48147,0.16133,0.10242,0.08925,0.03614,0.00594,1.38109,0.47696,0.38969,0.0019408,0.0019408,0.0019408
6,26.8247,0.91519,0.47222,0.15027,0.02517,0.03162,0.00397,0.00075,1.48119,0.45587,0.43054,0.0019505,0.0019505,0.0019505
7,30.9013,0.87309,0.47617,0.16041,0.07018,0.05868,0.01862,0.00394,1.40117,0.53985,0.39575,0.0019406,0.0019406,0.0019406
8,34.9519,0.86671,0.47557,0.15061,0.37899,0.27793,0.18786,0.03325,1.21536,0.38228,0.32722,0.0019307,0.0019307,0.0019307
9,38.8213,0.88443,0.47755,0.15611,0.57323,0.47505,0.38326,0.06888,1.09903,0.40247,0.27977,0.0019208,0.0019208,0.0019208
10,42.6091,0.85775,0.49397,0.14938,0.54088,0.4719,0.3801,0.07658,1.08447,0.45763,0.27739,0.0019109,0.0019109,0.0019109
11,46.4611,0.83919,0.4768,0.14537,0.69188,0.62724,0.57254,0.18656,0.9033,0.50911,0.21112,0.001901,0.001901,0.001901
12,50.4296,0.81976,0.47114,0.13411,0.05997,0.065,0.01422,0.00237,1.36028,0.47084,0.37969,0.0018911,0.0018911,0.0018911
13,54.2951,0.82677,0.47236,0.13339,0.73382,0.67779,0.6381,0.28006,0.74413,0.50727,0.1374,0.0018812,0.0018812,0.0018812
14,58.2548,0.80617,0.47891,0.14073,0.7509,0.69255,0.65692,0.25413,0.77847,0.50054,0.18259,0.0018713,0.0018713,0.0018713
15,62.1349,0.85359,0.47659,0.15989,0.58436,0.52214,0.41099,0.06802,1.07098,0.42569,0.27539,0.0018614,0.0018614,0.0018614
16,65.9029,0.81674,0.47872,0.14463,0.69184,0.60049,0.54846,0.16143,0.9519,0.43542,0.22743,0.0018515,0.0018515,0.0018515
17,69.6592,0.80636,0.48624,0.13552,0.74506,0.67568,0.63797,0.26473,0.78252,0.48969,0.15914,0.0018416,0.0018416,0.0018416
