epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93435,3.86512,2.72139,3.22069,0,0,0,0,nan,nan,nan,0.00038,0.00038,0.00038
2,7.99059,2.42804,1.32836,2.07789,0,0,0,0,nan,nan,nan,0.00077614,0.00077614,0.00077614
3,9.9478,2.27742,1.25176,1.99453,0.01754,0.00176,0.0061,0.00118,nan,nan,nan,0.00116832,0.00116832,0.00116832
4,11.8257,2.19582,1.21488,1.97409,0,0,0,0,nan,nan,nan,0.00155654,0.00155654,0.00155654
5,13.5975,2.29901,1.30051,1.9666,0,0,0,0,nan,nan,nan,0.0019408,0.0019408,0.0019408
6,15.4862,2.3009,1.27182,1.96645,0.10402,0.00703,0.0175,0.00544,nan,nan,nan,0.00195051,0.00195051,0.00195051
7,17.3431,2.24375,1.28626,1.97099,0.06609,0.02776,0.01066,0.00274,nan,nan,nan,0.00194061,0.00194061,0.00194061
8,19.1693,2.17715,1.27061,1.91332,0.022,0.01581,0.00425,0.00059,5.02193,5.68317,4.19729,0.00193071,0.00193071,0.00193071
9,21.0033,2.12125,1.26023,1.88773,0.41194,0.41216,0.27931,0.0528,3.3223,4.33674,2.61605,0.00192081,0.00192081,0.00192081
10,23.0423,2.21207,1.24172,1.90986,0.15628,0.1799,0.06195,0.00973,3.88281,3.51257,2.93176,0.00191091,0.00191091,0.00191091
11,24.8653,2.09548,1.24333,1.87323,0.0544,0.06887,0.01744,0.00357,4.24392,3.34837,2.91502,0.00190101,0.00190101,0.00190101
12,26.7557,2.13102,1.26585,1.90124,0.32366,0.34689,0.18285,0.03733,3.38148,1.92441,2.51346,0.00189111,0.00189111,0.00189111
13,28.5827,2.07314,1.24282,1.87,0.20505,0.23261,0.10413,0.01968,3.71233,2.50451,2.59324,0.00188122,0.00188122,0.00188122
14,30.3815,2.08002,1.2131,1.84441,0.02169,0.02565,0.00309,0.00074,5.01407,4.00494,3.90897,0.00187132,0.00187132,0.00187132
15,32.3466,2.11871,1.26021,1.85571,0.50712,0.45678,0.32052,0.06837,3.14543,1.52387,2.29696,0.00186142,0.00186142,0.00186142
