epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.98011,4.20478,3.52981,1.35837,0.19322,0.08679,0.05219,0.01666,nan,nan,nan,0.00038,0.00038,0.00038
2,3.66056,2.62311,1.65858,0.85947,0,0,0,0,nan,nan,nan,0.000776154,0.000776154,0.000776154
3,5.38788,2.43661,1.4904,0.81573,0.01424,0.11665,0.00824,0.00121,nan,nan,nan,0.00116836,0.00116836,0.00116836
4,7.01369,2.41932,1.46242,0.81754,0,0,0,0,nan,nan,nan,0.00155663,0.00155663,0.00155663
5,8.88699,2.37827,1.44225,0.79547,0.12041,0.07903,0.02634,0.00654,4.21334,3.16029,1.3837,0.00194095,0.00194095,0.00194095
6,10.5953,2.3484,1.41778,0.78891,0.08117,0.18447,0.04363,0.01178,3.68302,2.77373,1.05497,0.0019507,0.0019507,0.0019507
7,12.315,2.30621,1.42763,0.78731,0.35013,0.46838,0.2278,0.05757,2.9021,2.81344,0.91,0.00194084,0.00194084,0.00194084
8,14.1845,2.30366,1.42717,0.77983,0.49091,0.41251,0.31406,0.07945,3.1689,2.48012,0.94228,0.00193098,0.00193098,0.00193098
9,16.0002,2.22466,1.43136,0.77073,0.2067,0.32677,0.09826,0.02632,3.44507,6.17369,1.05133,0.00192112,0.00192112,0.00192112
10,17.6829,2.28556,1.42766,0.77282,0.10425,0.07168,0.01879,0.00285,4.78761,2.95158,1.33925,0.00191126,0.00191126,0.00191126
11,19.355,2.16158,1.38539,0.75451,0.18531,0.17623,0.07942,0.01347,3.88722,2.19719,1.05279,0.0019014,0.0019014,0.0019014
12,21.0927,2.23956,1.38436,0.77627,0.50949,0.43394,0.32966,0.0762,3.16654,1.72483,0.91296,0.00189154,0.00189154,0.00189154
13,22.7824,2.12384,1.44583,0.75186,0.65767,0.58117,0.50603,0.13867,2.76529,1.5966,0.82199,0.00188168,0.00188168,0.00188168
14,24.6366,2.16741,1.37759,0.74782,0.08904,0.11525,0.02551,0.00442,4.35724,3.20603,1.14457,0.00187181,0.00187181,0.00187181
15,26.3223,2.1922,1.39884,0.75198,0.61929,0.5629,0.47737,0.12535,2.8742,1.55562,0.82874,0.00186195,0.00186195,0.00186195
16,28.0134,2.12423,1.38604,0.74782,0.49674,0.34057,0.28372,0.07101,3.3973,1.72692,0.92079,0.00185209,0.00185209,0.00185209
17,29.7117,2.09462,1.36639,0.73422,0.1077,0.13493,0.03113,0.00454,4.35275,3.2967,1.1311,0.00184223,0.00184223,0.00184223
18,31.3956,2.2096,1.3839,0.75446,0.66322,0.48313,0.51055,0.18198,2.3371,1.57682,0.76816,0.00183237,0.00183237,0.00183237
19,33.2011,2.10388,1.39299,0.74381,0.65719,0.60647,0.52448,0.15145,2.65167,1.68453,0.79345,0.00182251,0.00182251,0.00182251
20,34.8822,2.07842,1.38882,0.73416,0.45491,0.36685,0.26385,0.04734,3.6632,1.68343,0.96784,0.00181265,0.00181265,0.00181265
21,36.5728,2.10505,1.38454,0.73858,0.04586,0.03303,0.00605,0.0015,5.14224,3.66804,1.42566,0.00180279,0.00180279,0.00180279
22,38.2727,2.08555,1.35261,0.74089,0.62143,0.54287,0.46772,0.10852,3.10508,1.61212,0.86613,0.00179293,0.00179293,0.00179293
23,39.9569,2.06939,1.37358,0.74114,0.33913,0.32677,0.17607,0.03436,3.65453,1.78648,0.97071,0.00178307,0.00178307,0.00178307
24,41.6739,2.1131,1.36217,0.73596,0.11334,0.10401,0.0317,0.00572,4.36561,1.96075,1.14257,0.00177321,0.00177321,0.00177321
25,43.4316,2.02663,1.33062,0.72573,0.28001,0.27477,0.12,0.0187,4.07496,2.07059,1.08037,0.00176335,0.00176335,0.00176335
26,45.1342,2.01366,1.30276,0.72168,0.3278,0.28461,0.15039,0.02417,3.98024,1.77495,1.03483,0.00175349,0.00175349,0.00175349
27,46.8536,2.07364,1.35003,0.72692,0.54485,0.49438,0.35898,0.07623,3.39493,1.66083,0.9285,0.00174363,0.00174363,0.00174363
28,48.5623,1.98235,1.31239,0.72816,0.24508,0.22558,0.11492,0.01765,4.02835,1.76734,1.02217,0.00173377,0.00173377,0.00173377
29,50.2804,2.08375,1.33112,0.7285,0.64313,0.59417,0.50362,0.1416,2.60794,1.57869,0.78647,0.00172391,0.00172391,0.00172391
30,51.9983,2.00718,1.28649,0.72638,0.46841,0.39073,0.28485,0.06228,3.48932,1.63385,0.94092,0.00171405,0.00171405,0.00171405
31,53.6862,2.06376,1.29958,0.7286,0.61341,0.55362,0.46187,0.10997,3.06217,1.50581,0.84112,0.00170419,0.00170419,0.00170419
32,55.3887,1.99367,1.30762,0.71762,0.47965,0.46486,0.30836,0.06044,3.43353,1.70431,0.90866,0.00169433,0.00169433,0.00169433
33,57.0932,1.99609,1.27178,0.71785,0.07483,0.05341,0.01031,0.00314,4.95678,5.01959,1.36944,0.00168447,0.00168447,0.00168447
