epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77575,3.28643,2.54865,1.51612,0.00724,0.02827,0.00294,0.00058,4.80321,83.1519,2.58037,0.000654762,0.000654762,0.000654762
2,4.85156,2.29363,1.28157,1.11298,0.30732,0.53906,0.26884,0.08415,nan,nan,nan,0.00130835,0.00130835,0.00130835
3,6.87914,2.30129,1.29097,1.10966,0.01121,0.00312,0.00563,0.00201,4.42147,nan,1.6732,0.00194873,0.00194873,0.00194873
4,8.92692,2.26555,1.25276,1.07884,0.62704,0.57133,0.50614,0.14763,2.38519,1.73649,1.09904,0.0019406,0.0019406,0.0019406
5,11.0405,2.15392,1.23381,1.06404,0.59382,0.51792,0.45345,0.12138,2.59885,1.51053,1.12895,0.0019208,0.0019208,0.0019208
6,13.1155,2.15569,1.36304,1.06558,0.7229,0.62825,0.61018,0.23149,2.08078,1.39405,1.02869,0.001901,0.001901,0.001901
7,15.2525,2.16748,1.2796,1.06116,0.71646,0.61073,0.59203,0.20502,2.24716,1.29582,1.05569,0.0018812,0.0018812,0.0018812
8,17.3096,2.14353,1.18727,1.04728,0.68199,0.6272,0.56091,0.19274,2.26086,1.43544,1.05572,0.0018614,0.0018614,0.0018614
9,19.3568,2.10423,1.23546,1.04818,0.68481,0.6154,0.53718,0.1585,2.36694,1.28736,1.08554,0.0018416,0.0018416,0.0018416
10,21.422,2.00316,1.91678,0.99655,0.36226,0.30625,0.18151,0.0371,3.13763,2.42465,1.30729,0.0018218,0.0018218,0.0018218
11,23.4714,2.05046,1.13206,1.01621,0.23488,0.22235,0.09997,0.01824,3.79319,1.75324,1.40522,0.001802,0.001802,0.001802
12,25.4897,1.999,1.14232,1.01976,0.72401,0.65101,0.59963,0.2055,2.2466,1.24172,1.05819,0.0017822,0.0017822,0.0017822
13,27.5726,1.96891,1.14883,1.01423,0.63029,0.52704,0.47903,0.11968,2.81856,1.40691,1.1518,0.0017624,0.0017624,0.0017624
14,29.6803,1.97168,1.1535,1.00475,0.68816,0.64097,0.56438,0.17232,2.43841,1.33347,1.06948,0.0017426,0.0017426,0.0017426
15,31.7585,1.99937,1.15518,1.0088,0.69802,0.64968,0.6124,0.23583,2.14129,1.40632,1.01819,0.0017228,0.0017228,0.0017228
16,33.9069,1.98692,1.18396,1.01222,0.49385,0.52749,0.35467,0.07536,2.91558,1.54075,1.17182,0.001703,0.001703,0.001703
17,35.9406,1.94268,1.14219,1.00353,0.28277,0.25462,0.13371,0.02412,3.59776,1.66245,1.30941,0.0016832,0.0016832,0.0016832
18,38.3286,1.94056,1.15533,1.00236,0.76494,0.65548,0.6475,0.28423,1.88331,1.16073,0.98538,0.0016634,0.0016634,0.0016634
19,40.5155,1.95645,1.13271,0.9927,0.60921,0.57319,0.45322,0.09659,3.01038,1.45352,1.21835,0.0016436,0.0016436,0.0016436
20,42.6046,1.90952,1.19326,0.99949,0.75526,0.66192,0.64487,0.24049,2.21277,1.21122,1.03004,0.0016238,0.0016238,0.0016238
21,44.6544,1.94342,1.11891,0.99441,0.73425,0.66236,0.63049,0.21518,2.26889,1.24008,1.03894,0.001604,0.001604,0.001604
22,46.69,1.88808,1.11262,0.99181,0.48756,0.45493,0.3221,0.05853,3.31397,1.49103,1.27804,0.0015842,0.0015842,0.0015842
23,48.7165,1.88741,1.10225,0.98975,0.72077,0.65413,0.61234,0.20251,2.4305,1.32271,1.07459,0.0015644,0.0015644,0.0015644
24,50.7723,1.89888,1.11873,0.98156,0.6203,0.54663,0.45236,0.09602,3.00302,1.34293,1.19517,0.0015446,0.0015446,0.0015446
25,52.8313,1.93394,1.15442,0.99918,0.69815,0.65457,0.60047,0.17384,2.61041,1.29579,1.09904,0.0015248,0.0015248,0.0015248
26,54.8864,1.90251,1.12577,0.98128,0.60034,0.55553,0.43794,0.09168,3.06627,1.44733,1.21597,0.001505,0.001505,0.001505
27,56.9509,1.8976,1.10354,0.98666,0.69597,0.62853,0.55956,0.14177,2.71422,1.29096,1.12621,0.0014852,0.0014852,0.0014852
