epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.32607,3.92211,3.20479,1.76182,0.00575,0.0641,0.00326,0.00108,3.80537,3.07235,1.55349,0.00054,0.00054,0.00054
2,3.23932,2.70113,2.02315,1.17492,0.60521,0.48498,0.47446,0.17065,2.54939,1.74354,1.24944,0.00108911,0.00108911,0.00108911
3,4.14466,2.51046,1.55965,1.1233,0.41537,0.48698,0.34918,0.09136,2.74088,1.68757,1.1827,0.00162713,0.00162713,0.00162713
4,5.05427,2.47496,1.47615,1.10937,0.13137,0.31071,0.08205,0.01905,3.56354,2.58052,1.31972,0.0019406,0.0019406,0.0019406
5,5.93199,2.27843,1.35467,1.06893,0.33747,0.40441,0.23811,0.04691,3.39642,1.94149,1.35166,0.0019208,0.0019208,0.0019208
6,6.83183,2.26133,1.31767,1.06764,0.2942,0.33986,0.17557,0.03524,3.45785,1.90841,1.34851,0.001901,0.001901,0.001901
7,7.71703,2.17701,1.31185,1.05604,0.49185,0.4349,0.33982,0.06506,3.33099,1.54863,1.3049,0.0018812,0.0018812,0.0018812
8,8.60045,2.20359,1.28699,1.04995,0.10933,0.15825,0.0456,0.00677,3.93797,1.70857,1.46755,0.0018614,0.0018614,0.0018614
9,9.54454,2.12467,1.28913,1.04564,0.67371,0.57044,0.55315,0.18287,2.45524,1.33906,1.08629,0.0018416,0.0018416,0.0018416
10,10.4238,2.12284,1.28752,1.03227,0.16947,0.18162,0.06027,0.00876,3.93216,2.14639,1.51541,0.0018218,0.0018218,0.0018218
11,11.319,2.14289,1.27538,1.03145,0.07141,0.08547,0.02134,0.00368,4.30392,2.24789,1.5515,0.001802,0.001802,0.001802
12,12.192,2.13616,1.21275,1.05328,0.6131,0.53572,0.45711,0.09617,2.97411,1.44002,1.20275,0.0017822,0.0017822,0.0017822
13,13.0822,2.1469,1.23448,1.0347,0.33948,0.37481,0.20017,0.03288,3.44629,2.28543,1.32692,0.0017624,0.0017624,0.0017624
14,13.9963,2.02215,1.19349,1.0143,0.68738,0.63454,0.58349,0.20907,2.16535,1.37885,1.03208,0.0017426,0.0017426,0.0017426
15,14.8739,2.08148,1.2063,1.02686,0.76806,0.63532,0.63523,0.26941,1.95168,1.20936,1.00597,0.0017228,0.0017228,0.0017228
16,15.7437,2.0984,1.18372,1.02031,0.59382,0.52614,0.4396,0.10077,2.93525,1.37472,1.19417,0.001703,0.001703,0.001703
17,16.6335,2.06363,1.20651,1.02424,0.72142,0.62941,0.59138,0.21234,2.17849,1.2791,1.02674,0.0016832,0.0016832,0.0016832
18,17.5172,1.98531,1.18205,1.01341,0.66205,0.57067,0.51397,0.12963,2.78921,1.37831,1.15353,0.0016634,0.0016634,0.0016634
19,18.421,1.97534,1.16948,1.00383,0.70152,0.64028,0.5901,0.20942,2.18898,1.33322,1.02643,0.0016436,0.0016436,0.0016436
20,19.3202,1.96174,1.1685,1.0042,0.71974,0.64759,0.60783,0.22924,2.1908,1.28646,1.02454,0.0016238,0.0016238,0.0016238
21,20.2425,2.01155,1.19496,1.01436,0.72111,0.63254,0.5986,0.19667,2.35592,1.27816,1.05207,0.001604,0.001604,0.001604
22,21.1635,1.95114,1.18129,1.00327,0.64769,0.5838,0.51334,0.11266,2.90541,1.32798,1.16182,0.0015842,0.0015842,0.0015842
23,22.0792,1.98948,1.15221,1.00448,0.46444,0.42288,0.2871,0.04924,3.44459,1.56994,1.31663,0.0015644,0.0015644,0.0015644
24,22.9915,1.96085,1.16863,0.99332,0.72265,0.6361,0.59358,0.18141,2.52585,1.28569,1.07928,0.0015446,0.0015446,0.0015446
25,23.8707,1.9931,1.19338,1.00029,0.58206,0.56043,0.43177,0.0842,3.16505,1.53222,1.21132,0.0015248,0.0015248,0.0015248
26,24.7592,2.00832,1.19043,1.00209,0.65991,0.57734,0.50285,0.11666,2.83297,1.34919,1.14661,0.001505,0.001505,0.001505
