epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.47132,3.70678,3.06659,1.734,0.16011,0.3619,0.17217,0.05211,2.97825,21.459,1.26651,0.00054,0.00054,0.00054
2,2.61218,2.40832,1.45662,1.14,0.02275,0.03806,0.00487,0.00107,4.36323,18.6078,2.38282,0.00108911,0.00108911,0.00108911
3,3.685,2.26199,1.27351,1.08698,0.07494,0.09838,0.02085,0.004,4.11188,5.94606,1.78605,0.00162713,0.00162713,0.00162713
4,4.73476,2.26773,1.28635,1.07853,0.22716,0.23815,0.11321,0.02386,3.46981,nan,1.41018,0.0019406,0.0019406,0.0019406
5,5.78416,2.16147,1.23804,1.05735,0.11902,0.28044,0.07513,0.01773,3.45291,2.95368,1.34561,0.0019208,0.0019208,0.0019208
6,6.81648,2.16938,1.21891,1.05374,0.21105,0.12864,0.0785,0.01925,3.903,2.53634,1.62171,0.001901,0.001901,0.001901
7,7.86704,2.093,1.21995,1.0396,0.28231,0.27131,0.14084,0.02643,3.65405,2.05957,1.39214,0.0018812,0.0018812,0.0018812
8,8.91286,2.08729,1.21454,1.0285,0.38381,0.34876,0.21695,0.03843,3.44892,1.53807,1.30852,0.0018614,0.0018614,0.0018614
9,9.94761,1.99708,1.196,1.02627,0.28297,0.27999,0.13838,0.0204,3.70377,2.12156,1.37618,0.0018416,0.0018416,0.0018416
10,10.9785,2.03637,1.1988,1.0187,0.20807,0.19631,0.07194,0.01113,3.95442,1.78084,1.51243,0.0018218,0.0018218,0.0018218
11,12.014,2.01413,1.18786,1.00523,0.3044,0.35455,0.17819,0.031,3.49915,2.11637,1.29932,0.001802,0.001802,0.001802
12,13.0618,2.02995,1.14613,1.03453,0.5678,0.52526,0.41303,0.08292,2.99264,1.50364,1.18673,0.0017822,0.0017822,0.0017822
13,14.1461,2.10111,1.19116,1.02419,0.07443,0.08168,0.01973,0.00331,4.32238,2.2502,1.62142,0.0017624,0.0017624,0.0017624
14,15.1893,1.98248,1.15111,1.01042,0.08516,0.08324,0.02315,0.00403,4.35216,2.18194,1.67383,0.0017426,0.0017426,0.0017426
15,16.2375,1.96754,1.17258,1.00242,0.48894,0.48231,0.34309,0.08948,2.92728,1.53124,1.17159,0.0017228,0.0017228,0.0017228
16,17.3173,1.96444,1.14307,0.99579,0.50324,0.44247,0.31679,0.07109,3.25922,1.51055,1.27195,0.001703,0.001703,0.001703
17,18.361,1.9424,1.148,1.00044,0.75031,0.6541,0.62961,0.25717,1.9582,1.22628,0.98983,0.0016832,0.0016832,0.0016832
18,19.4397,1.91326,1.15357,0.99748,0.71652,0.64187,0.58838,0.17976,2.41905,1.26562,1.07127,0.0016634,0.0016634,0.0016634
19,20.494,1.90715,1.13007,0.98742,0.7142,0.66081,0.60364,0.20008,2.49836,1.33232,1.06809,0.0016436,0.0016436,0.0016436
20,21.5887,1.88443,1.10266,0.98828,0.71598,0.66095,0.59972,0.18275,2.63128,1.29227,1.10787,0.0016238,0.0016238,0.0016238
21,22.6249,1.95333,1.14919,1.00144,0.70544,0.66947,0.59082,0.1609,2.6127,1.36013,1.11364,0.001604,0.001604,0.001604
22,23.6715,1.90756,1.12799,0.99199,0.29643,0.29245,0.13701,0.02099,3.8256,1.68378,1.402,0.0015842,0.0015842,0.0015842
23,24.7254,1.89568,1.12793,0.98381,0.64572,0.6016,0.50907,0.12584,2.88564,1.45064,1.15282,0.0015644,0.0015644,0.0015644
24,25.7757,1.87629,1.10808,0.97883,0.6451,0.60138,0.506,0.11043,3.12327,1.37147,1.20423,0.0015446,0.0015446,0.0015446
25,26.8132,1.91054,1.14617,0.98378,0.45314,0.45938,0.28666,0.05025,3.54941,1.95933,1.34832,0.0015248,0.0015248,0.0015248
26,27.8539,1.88888,1.15143,0.9753,0.63989,0.58046,0.48231,0.10661,2.97819,1.30479,1.17481,0.001505,0.001505,0.001505
27,28.8808,1.87139,1.11595,0.98216,0.77001,0.714,0.67028,0.28768,1.84352,1.16653,0.97084,0.0014852,0.0014852,0.0014852
28,30.2151,1.94471,1.11558,1.00115,0.72824,0.69642,0.63096,0.24093,2.19019,1.25687,1.01846,0.0014654,0.0014654,0.0014654
29,31.25,1.90729,1.09927,0.98091,0.73261,0.6864,0.61653,0.20118,2.38223,1.2542,1.05044,0.0014456,0.0014456,0.0014456
30,32.3061,1.85959,1.12527,0.96798,0.46024,0.46628,0.30892,0.05096,3.5319,1.71742,1.33888,0.0014258,0.0014258,0.0014258
31,33.3565,1.86554,1.11086,0.97358,0.59832,0.57718,0.45465,0.08622,3.25016,1.51229,1.25805,0.001406,0.001406,0.001406
32,34.3994,1.87417,1.09436,0.97274,0.71839,0.65613,0.6103,0.17197,2.69808,1.24386,1.11529,0.0013862,0.0013862,0.0013862
33,35.4472,1.84368,1.10908,0.97119,0.71504,0.65902,0.60159,0.16267,2.69347,1.26197,1.11192,0.0013664,0.0013664,0.0013664
34,36.5145,1.84031,1.11215,0.96478,0.6749,0.63966,0.56678,0.13699,2.89593,1.39103,1.17117,0.0013466,0.0013466,0.0013466
35,37.5637,1.89097,1.09401,0.98938,0.6548,0.61512,0.51986,0.10463,3.17921,1.33071,1.25274,0.0013268,0.0013268,0.0013268
